Date,AAPL,ABBV,AMZN,BAC,C,COP,CVX,EOG,GOOGL,GS,JNJ,JPM,META,MRK,MS,MSFT,PFE,SLB,UNH,XOM,SP500
2020-01-02,72.40054321289062,68.69625091552734,94.90049743652344,30.58755874633789,64.97230529785156,52.15788269042969,92.0177230834961,63.04515075683594,67.8730239868164,202.11892700195312,122.63821411132812,118.43030548095703,208.1466064453125,72.0933609008789,42.83356857299805,152.15843200683594,27.494842529296875,34.66990280151367,263.1968994140625,53.30641174316406,3257.85009765625
2020-01-03,71.69664001464844,68.044189453125,93.74849700927734,29.952465057373047,63.748538970947266,52.349098205566406,91.6994400024414,63.68205261230469,67.51795196533203,199.75546264648438,121.21833801269531,116.86746215820312,207.04522705078125,71.47457885742188,42.14216995239258,150.2637939453125,27.34732437133789,35.00651168823242,260.533447265625,52.87785720825195,3234.85009765625
2020-01-06,72.26792907714844,68.58116149902344,95.14399719238281,29.909555435180664,63.548580169677734,52.970611572265625,91.3887710571289,66.2671127319336,69.31758117675781,201.7997589111328,121.0671615600586,116.7745132446289,210.9446258544922,71.78004455566406,41.99401092529297,150.65219116210938,27.31220817565918,35.23090362548828,262.342041015625,53.28386306762695,3246.280029296875
2020-01-07,71.92804718017578,68.18994140625,95.34300231933594,29.712162017822266,62.99667739868164,52.970611572265625,90.22177124023438,66.90399932861328,69.18370819091797,203.1281280517578,121.80644989013672,114.78929901123047,211.40101623535156,69.86885070800781,41.91170120239258,149.278564453125,27.22088623046875,35.04966354370117,260.75836181640625,52.847782135009766,3237.179931640625
2020-01-08,73.08509063720703,68.67323303222656,94.59850311279297,30.012540817260742,63.476600646972656,51.7435417175293,89.1911849975586,65.44288635253906,69.67611694335938,205.08615112304688,121.78970336914062,115.68477630615234,213.544189453125,69.39888000488281,42.446712493896484,151.65631103515625,27.43864631652832,34.01396942138672,266.2562561035156,52.050804138183594,3253.050048828125
2020-01-09,74.63748168945312,69.20254516601562,95.05249786376953,30.064037322998047,64.052490234375,52.643917083740234,89.0472183227539,66.12472534179688,70.40758514404297,209.2610626220703,122.15090942382812,116.10719299316406,216.6002197265625,70.00984191894531,42.85002899169922,153.5509490966797,27.31922721862793,34.402339935302734,264.7444763183594,52.44929504394531,3274.699951171875
2020-01-10,74.80622100830078,68.32035064697266,94.15799713134766,29.815147399902344,63.38861083984375,52.12601089477539,88.23640441894531,64.64112854003906,70.86231231689453,208.83836364746094,121.87368774414062,114.9498291015625,216.36209106445312,70.12733459472656,42.97349548339844,152.8404998779297,27.74071502685547,34.3764533996582,265.5633544921875,51.983154296875,3265.35009765625
2020-01-13,76.40441131591797,67.90608978271484,94.56500244140625,30.089778900146484,64.5083999633789,51.89493179321289,88.4030990600586,64.07917785644531,71.41128540039062,211.51231384277344,122.41136169433594,115.90443420410156,220.18214416503906,70.11165618896484,43.442649841308594,154.67823791503906,27.684513092041016,33.858612060546875,257.21307373046875,52.47937774658203,3288.1298828125
2020-01-14,75.37272644042969,68.57475280761719,93.47200012207031,30.31291961669922,65.51622772216797,51.902915954589844,88.13031005859375,64.68611145019531,70.94315338134766,211.90052795410156,123.10033416748047,117.25609588623047,217.3543243408203,70.44063568115234,43.508506774902344,153.58888244628906,28.14814567565918,34.11753463745117,259.3636474609375,52.028255462646484,3283.14990234375
2020-01-15,75.0497055053711,69.39888763427734,93.10099792480469,29.755064010620117,64.98031616210938,51.791351318359375,88.00147247314453,64.9933090209961,71.37013244628906,211.51231384277344,123.51199340820312,115.49893951416016,219.4280242919922,71.70174407958984,43.57434844970703,154.58352661132812,28.569631576538086,33.08183670043945,266.7151794433594,51.94554901123047,3289.2900390625
2020-01-16,75.98980712890625,69.39888763427734,93.89700317382812,29.79798126220703,64.7883529663086,51.84712219238281,88.57740020751953,65.42029571533203,71.91365051269531,215.40260314941406,124.51177215576172,115.9466323852539,220.043212890625,71.41973876953125,46.455162048339844,157.4160614013672,28.527482986450195,33.4702262878418,270.6114501953125,51.74253845214844,3316.81005859375
2020-01-17,76.8310775756836,68.41925048828125,93.23600006103516,29.789398193359375,64.88433837890625,51.84712219238281,87.58468627929688,64.13475799560547,73.36959838867188,215.1783447265625,125.32674407958984,116.74917602539062,220.41033935546875,71.25525665283203,47.33586883544922,158.29705810546875,28.45723533630371,33.11636734008789,268.56884765625,51.54706573486328,3329.6201171875
2020-01-21,76.31040954589844,68.4114761352539,94.5999984741211,29.403194427490234,63.908512115478516,51.01845932006836,85.86450958251953,63.18001174926758,73.50498962402344,211.9350128173828,125.41078186035156,115.60028839111328,219.71580505371094,70.47196960449219,46.02714920043945,157.72860717773438,28.33781623840332,31.89078712463379,270.4223327636719,50.81024932861328,3320.7900390625
2020-01-22,76.58280944824219,67.8050308227539,94.37300109863281,29.489017486572266,64.0684814453125,50.205745697021484,85.55382537841797,62.4658088684082,73.5853042602539,213.0994873046875,124.55377197265625,115.46512603759766,219.59671020507812,70.22132873535156,45.97776412963867,156.97080993652344,28.232440948486328,31.657760620117188,270.47637939453125,50.517024993896484,3321.75
2020-01-23,76.95160675048828,66.29669189453125,94.22899627685547,29.283037185668945,63.828529357910156,50.309322357177734,85.70538330078125,61.5185546875,73.62598419189453,211.83152770996094,124.7890396118164,115.34684753417969,218.04884338378906,69.36754608154297,45.706146240234375,157.93704223632812,28.597726821899414,31.44198989868164,269.4595947265625,50.201255798339844,3325.5400390625
2020-01-24,76.72985076904297,64.95166015625,93.08200073242188,28.785261154174805,62.724727630615234,49.89499282836914,84.75814819335938,60.030006408691406,72.70758056640625,208.67446899414062,124.61262512207031,112.48301696777344,216.24305725097656,67.34668731689453,44.8995246887207,156.3455352783203,27.97252082824707,30.872358322143555,263.47576904296875,49.862918853759766,3295.469970703125
